toko,nama_barang,review_text,rating,clean_text,has_kualitas_produk,has_harga,has_pengiriman,has_pelayanan,has_performa,has_packaging,sentiment_kualitas_produk,sentiment_harga,sentiment_pengiriman,sentiment_pelayanan,sentiment_performa,sentiment_packaging,text_length,word_count
ismile-indonesia,Apple iPhone 13 128GB Garansi Resmi Indonesia,"Barang original, berfungsi semua, gada kendala
pemakaian baru +2 minggu.",5,barang original berfungsi semua gada kendala pemakaian baru minggu,1,0,0,0,0,0,1,0,0,0,0,0,66,9
ismile-indonesia,Vention Kabel Charger USB 2.0 Type C to Lightning Fast Charging 27W PD 3A 1M 2M LALBF Resmi,"Braided cable, kokoh, ada tutupnya, apalagi ?",5,braided cable kokoh ada tutupnya apalagi,0,0,0,0,1,0,0,0,0,0,-1,0,40,6
ismile-indonesia,Apple iPhone 16 Garansi Resmi - 128GB 256GB 512GB,"respon cepat, barang langsung dikirim. pembelian kedua.",5,responsif cepat barang langsung dikirim pembelian kedua,0,0,1,1,1,0,0,0,1,1,1,0,55,7
ismile-indonesia,Apple iPhone 13 128GB Garansi Resmi Indonesia,puassss banget. barang sampai dengan selamat dan original. mantaappp kerennnn,5,puassss banget barang sampai dengan selamat dan original mantaappp kerennnn,1,0,1,0,0,0,1,0,-1,0,0,0,75,10
ismile-indonesia,Apple iPhone 16 Pro Max 128GB 256GB 512GB 1TB Garansi Resmi,"Respon penjual baik
Pengemasan aman
Pengiriman cepat
Senang berbelanja disini
Terima kasih untuk pelayanannya
videonya kurang dr 30 detik jd gk bs di upload..",5,responsif penjual baik pengemasan aman pengiriman cepat senang berbelanja disini terima kasih untuk pelayanannya videonya kurang dr detik jadi gk bs di upload,0,0,1,1,1,1,0,0,1,1,1,1,158,23
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,"thankyouu bantuannya untuk memberikan unit sesuai sama request kami, kak",5,thankyouu bantuannya untuk memberikan unit sesuai sama request kami kak,0,0,0,0,0,0,0,0,0,0,0,0,71,10
ismile-indonesia,Apple iPhone 16 Pro 128GB Garansi Resmi,ini pengiriman tercepat selama bertahun2 saya belanja dri online....walopun gk dapat kode sesuai yg d pesan tp gpp **************** jg gercep thx a lot ya,5,ini pengiriman tercepat selama bertahun saya belanja dri online walopun gk dapat kode sesuai yg d pesan tapi gpp jg gercep thx a lot ya,0,0,1,0,1,0,0,0,0,0,1,0,135,25
ismile-indonesia,Apple iPhone 16 Pro Max Garansi Resmi - 256GB 512GB 1TB,"uda 2x beli iphone disini, semoga iphone nya awet lamaa bangetttt. sejauh ini gaada kendala, enaknya lagi di toko ini bisa self pickup jadi merasa aman kalo langsung cod...",5,uda x beli iphone disini semoga iphone nya awet lamaa bangetttt sejauh ini gaada kendala enaknya lagi di toko ini bisa self pickup jadi merasa aman kalo langsung cod,0,0,1,0,1,1,0,0,-1,0,-1,1,165,29
ismile-indonesia,Philips TAUE 101 Earphone Headset With Mic Garansi Resmi,"mantul banget suaranya, jos",5,bagus banget suaranya jos,1,0,0,0,1,0,1,0,0,0,1,0,25,4
ismile-indonesia,Apple iPhone 15 Garansi Resmi 128GB 256GB 512GB,Barang diterima dengan keadaan baik. Packaging bubble wrap aman. Pengiriman sampai Sulawesi sangat cepat. Seller responsif.,5,barang diterima dengan keadaan baik packaging bubble wrap aman pengiriman sampai sulawesi sangat cepat seller responsif,0,0,1,1,1,1,0,0,1,1,1,1,119,16
ismile-indonesia,Apple iPhone 13 128GB Garansi Resmi Indonesia,"barang ori, mantappppppppppppp",5,barang ori mantappppppppppppp,1,0,0,0,0,0,1,0,0,0,0,0,29,3
ismile-indonesia,Vention Kabel Charger USB 2.0 Type C to Lightning Fast Charging 27W PD 3A 1M 2M LALBF Resmi,Produk diterima dengan baik. Pengemasan aman. Produk berfungsi. Pengiriman oke.,5,produk diterima dengan baik pengemasan aman produk berfungsi pengiriman bagus,1,0,0,1,1,1,1,0,0,1,1,1,77,10
ismile-indonesia,Vention Wall Charger Gan 20W PD USB C Garansi Resmi,Produk diterima dengan baik. Pengemasan aman. Produk berfungsi dengan baik.,5,produk diterima dengan baik pengemasan aman produk berfungsi dengan baik,0,0,0,1,0,1,0,0,0,1,0,1,72,10
ismile-indonesia,Apple iPhone 15 Plus Garansi Resmi - 128GB 256GB 512GB,"Barang Original, keren dan memuaskan.",5,barang original keren dan memuaskan,1,0,0,0,0,0,1,0,0,0,0,0,35,5
ismile-indonesia,Vention Kabel Charger USB 2.0 Type C to Lightning Fast Charging 27W PD 3A 1M 2M LALBF Resmi,"Diluar ekpektasi sih, ternyata kabelnya kokoh banget ya, aku pikir kabel charger biasa, ternyata keren banget. 😘",5,diluar ekpektasi sih ternyata kabelnya kokoh banget ya aku pikir kabel charger biasa ternyata keren banget,0,0,0,0,0,0,0,0,0,0,0,0,106,16
ismile-indonesia,Ugreen Magsafe Case Classy Clear Clear-Black For iPhone 16 Series Resmi,"Case pas dan sesuai dengan pesanan. Belum dicoba cas wirelessnya, semoga works.",5,case pas dan sesuai dengan pesanan belum dicoba cas wirelessnya semoga works,0,0,0,0,0,0,0,0,0,0,0,0,76,12
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,terimakasih barang dtg celat barang bagus/ori berpungsi dgn baik di cek imei/kode2 di dlm nya cocok dan asli 100% ori/asli garansi asli tks,5,terimakasih barang dtg celat barang bagus ori berpungsi dgn baik di cek imei kode di dlm nya cocok dan asli ori asli garansi asli tks,1,0,0,1,1,0,1,0,0,1,1,0,133,25
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,"Puass bangett, sengaja baru ngasih review setelah pemakaian 1 bulan lebih dan ternyataa sampe sekarang amann bgtt!!! Super rekomendedd sii",5,puass bangett sengaja baru ngasih review setelah pemakaian bulan lebih dan ternyataa sampe sekarang amann bgtt super rekomendedd sii,0,0,0,0,0,1,0,0,0,0,0,1,132,19
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,"Mantapp, admin responsif",5,mantapp admin responsif,1,0,0,1,0,0,1,0,0,1,0,0,23,3
ismile-indonesia,Apple Watch Series 10 2024 GPS 42mm 46mm Alumunium Case Sport Band,Mantap terima kasih…,5,bagus terima kasih,1,0,0,0,1,0,1,0,0,0,1,0,18,3
ismile-indonesia,Apple iPhone 15 128GB 256GB 512GB Garansi Resmi,"barang terbungkus rapi, tidak ada dus yang penyok",5,barang terbungkus rapi tidak ada dus yang penyok,0,0,0,1,0,1,0,0,0,-1,0,1,48,8
ismile-indonesia,Apple iPhone 15 128GB 256GB 512GB Garansi Resmi,"barang ori, mantab",5,barang ori mantab,0,0,0,0,0,0,0,0,0,0,0,0,17,3
ismile-indonesia,Apple iPhone 16 Garansi Resmi - 128GB 256GB 512GB,"barang terkirim aman dan sesuai request,  terimakasih",5,barang terkirim aman dan sesuai request terimakasih,0,0,0,0,0,1,0,0,0,0,0,1,51,7
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,"original 
👍 dah gitu aja",5,original dah gitu aja,1,0,0,0,0,0,1,0,0,0,0,0,21,4
ismile-indonesia,Apple iPhone 16 Garansi Resmi - 128GB 256GB 512GB,"Barang masih green peel, garansi ori, berfungsi dengan baik",5,barang masih green peel garansi ori berfungsi dengan baik,0,0,0,1,0,0,0,0,0,1,0,0,57,9
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,"alhamdulillah paketnya udh sampai😊 device aman, garansi resmi Indonesia, dapat kode SA/A. rekomend sih toko ini😊",5,alhamdulillah paketnya sudah sampai device aman garansi resmi indonesia dapat kode sa a rekomend sih toko ini,0,0,0,0,0,1,0,0,0,0,0,1,109,17
ismile-indonesia,Apple iPhone 16 Garansi Resmi - 128GB 256GB 512GB,Ingin d batalkan tapi tetap d kiirm,1,ingin d batalkan tapi tetap d kiirm,0,0,0,0,0,0,0,0,0,0,0,0,35,7
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,"Alhamdulillah barang sampai dengan selamat, walaupun di bungkusnya cuman pakai kantonh plastik, overall puas sama barangnya, semoga awet dan tahan lama, Aamiin🤲🏻",5,alhamdulillah barang sampai dengan selamat walaupun di bungkusnya cuman pakai kantonh plastik overall puas sama barangnya semoga awet dan tahan lambat aamiin,0,0,1,1,1,1,0,0,-1,-1,-1,1,157,22
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,Mantapss sekali,5,mantapss sekali,1,0,0,0,0,0,1,0,0,0,0,0,15,2
ismile-indonesia,Apple iPhone 16 Garansi Resmi - 128GB 256GB 512GB,"nyampe ny cepet
barang aman, mulus
bagus",5,nyampe ny cepet barang aman mulus bagus,1,0,0,0,1,1,1,0,0,0,1,1,39,7
ismile-indonesia,Ugreen Magsafe Case Classy Clear Clear-Black For iPhone 16 Series Resmi,"Mantaaappp sesuai iklan, produk pas cocok, respon cepet, cepat sampe, packing aman, terimakasih.",5,mantaaappp sesuai iklan produk pas cocok responsif cepet cepat sampe packing aman terimakasih,0,0,1,1,1,1,0,0,1,1,1,1,93,13
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,"Barangnya tepat, respon cepet",5,barangnya tepat responsif cepet,0,0,1,1,0,0,0,0,1,1,0,0,31,4
ismile-indonesia,Apple iPhone 15 Garansi Resmi 128GB 256GB 512GB,pengiriman cepat barang original bisa di andalkan,5,pengiriman cepat barang original bisa di andalkan,1,0,1,0,1,0,1,0,1,0,1,0,49,7
ismile-indonesia,Apple Watch Ultra 2 2024 49mm Black Titanium Case Ocean Band,Original and fast response. Surprisingly watch arrived safely in less than 24 hours. Kuddos to iSmile team :)),5,original and cepat response surprisingly watch arrived safely in less than hours kuddos to ismile team,1,0,1,1,1,0,1,0,1,1,1,0,102,16
ismile-indonesia,[ iSmile X Sefrico ] Apple iPhone 13 128GB Garansi Resmi,Bagus,5,bagus,1,0,0,0,1,0,1,0,0,0,1,0,5,1
ismile-indonesia,Apple iPhone 16 Pro Max Garansi Resmi - 256GB 512GB 1TB,"barang pas mau 2 bulan tiba"" mati,dus ada lecet dan penyok dan kondisi hp ada dent warna tidak rata dan lecet di bagian bawah dan tombol samping speaker.",1,barang pas mau bulan tiba mati dus ada lecet dan penyok dan kondisi hp ada dent warna tidak rata dan lecet di bagian bawah dan tombol samping speaker,0,0,0,1,0,1,0,0,0,-1,0,-1,149,28
ismile-indonesia,Apple iPhone 16 Garansi Resmi - 128GB 256GB 512GB,parahhh sih,5,parahhh sih,1,0,0,0,0,0,-1,0,0,0,0,0,11,2
ismile-indonesia,Apple iPad Air M2 (Gen 6) 11 inci Wifi 128GB 256GB 512GB 1TB Garansi Resmi,"Pemesanan aman, pengemasan bagus, dan barang nya cakep",5,pemesanan aman pengemasan bagus dan barang nya cakep,1,0,0,0,1,1,1,0,0,0,1,1,52,8
ismile-indonesia,Apple iPad Air M2 (Gen 6) 11 inci Wifi 128GB 256GB 512GB 1TB Garansi Resmi,👍👍👍cepat sampainya,5,cepat sampainya,0,0,1,0,1,0,0,0,1,0,1,0,15,2
ismile-indonesia,Apple iPhone 13 128GB Garansi Resmi Indonesia,barang masih disegel packing aman semoga aweett awet🙌,5,barang masih disegel packing aman semoga aweett awet,0,0,0,0,0,1,0,0,0,0,0,1,52,8
ismile-indonesia,Apple iPhone 16 Pro Max Garansi Resmi - 256GB 512GB 1TB,"Pembelian ke-4 dari Toko ini. Alhamdulillah selalu amanahh 🥰 
Kalo mau lebih cepet pengirimannya bisa pilih yg non gratisongkir dan pilih ekspedisinya. Kaliini sampenya...",5,pembelian ke dari toko ini alhamdulillah selalu amanahh kalo mau lebih cepet pengirimannya bisa pilih yg non gratisongkir dan pilih ekspedisinya kaliini sampenya,0,0,0,0,0,1,0,0,0,0,0,1,161,23
