toko,nama_barang,review_text,rating,clean_text,has_kualitas_produk,has_harga,has_pengiriman,has_pelayanan,has_performa,has_packaging,sentiment_kualitas_produk,sentiment_harga,sentiment_pengiriman,sentiment_pelayanan,sentiment_performa,sentiment_packaging,text_length,word_count
ismile-indonesia,Apple iPhone 16 Pro Max Garansi Resmi - 256GB 512GB 1TB,"uda 2x beli iphone disini, semoga iphone nya awet lamaa bangetttt. sejauh ini gaada kendala, enaknya lagi di toko ini bisa self pickup jadi merasa aman kalo langsung cod...",5,uda x beli iphone disini semoga iphone nya awet lamaa bangetttt sejauh ini gaada kendala enaknya lagi di toko ini bisa self pickup jadi merasa aman kalo langsung cod,0,0,1,0,1,1,0,0,-1,0,-1,1,165,29
ismile-indonesia,Philips TAUE 101 Earphone Headset With Mic Garansi Resmi,"mantul banget suaranya, jos",5,bagus banget suaranya jos,1,0,0,0,1,0,1,0,0,0,1,0,25,4
ismile-indonesia,Apple iPhone 15 Garansi Resmi 128GB 256GB 512GB,Barang diterima dengan keadaan baik. Packaging buuewrap aman. Pengiriman sampai Sulawesi sangat cepat. Seller responsif.,5,barang diterima dengan keadaan baik packaging buuewrap aman pengiriman sampai sulawesi sangat cepat seller responsif,0,0,1,1,1,1,0,0,1,1,1,1,116,15
ismile-indonesia,Apple iPhone 13 128GB Garansi Resmi Indonesia,"barang ori, mantappppppppppppp",5,barang ori mantappppppppppppp,1,0,0,0,0,0,1,0,0,0,0,0,29,3
ismile-indonesia,Vention Kabel Charger USB 2.0 Type C to Lightning Fast Charging 27W PD 3A 1M 2M LALBF Resmi,Produk diterima dengan baik. Pengemasan aman. Produk berfungsi. Pengiriman oke.,5,produk diterima dengan baik pengemasan aman produk berfungsi pengiriman bagus,1,0,0,1,1,1,1,0,0,1,1,1,77,10
ismile-indonesia,Vention Wall Charger Gan 20W PD USB C Garansi Resmi,Produk diterima dengan baik. Pengemasan aman. Produk berfungsi dengan baik.,5,produk diterima dengan baik pengemasan aman produk berfungsi dengan baik,0,0,0,1,0,1,0,0,0,1,0,1,72,10
ismile-indonesia,Apple iPhone 15 Plus Garansi Resmi - 128GB 256GB 512GB,"Barang Original, keren dan memuaskan.",5,barang original keren dan memuaskan,1,0,0,0,0,0,1,0,0,0,0,0,35,5
ismile-indonesia,Vention Kabel Charger USB 2.0 Type C to Lightning Fast Charging 27W PD 3A 1M 2M LALBF Resmi,"Diluar ekpektasi sih, ternyata kabelnya kokoh banget ya, aku pikir kabel charger biasa, ternyata keren banget. 😘",5,diluar ekpektasi sih ternyata kabelnya kokoh banget ya aku pikir kabel charger biasa ternyata keren banget,0,0,0,0,0,0,0,0,0,0,0,0,106,16
ismile-indonesia,Ugreen Magsafe Case Classy Clear Clear-Black For iPhone 16 Series Resmi,"Case pas dan sesuai dengan pesanan. Belum dicoba cas wirelessnya, semoga works.",5,case pas dan sesuai dengan pesanan belum dicoba cas wirelessnya semoga works,0,0,0,0,0,0,0,0,0,0,0,0,76,12
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,terimakasih barang dtg celat barang bagus/ori berpungsi dgn baik di cek imei/kode2 di dlm nya cocok dan asli 100% ori/asli garansi asli tks,5,terimakasih barang dtg celat barang bagus ori berpungsi dgn baik di cek imei kode di dlm nya cocok dan asli ori asli garansi asli tks,1,0,0,1,1,0,1,0,0,1,1,0,133,25
