clean_text,has_kualitas_produk,has_harga,has_pengiriman,has_pelayanan,has_performa,has_packaging
kejernihan lensa bagus,1,0,0,0,1,0
smoga awet,0,0,0,0,0,0
barang sesuai di foto deskripsi dan dijamin original terima kasih seller,1,0,0,0,0,0
aman segel,0,0,0,0,0,1
barangnya bagus bngt ank q sangat suka,1,0,0,0,1,0
keren abis barang nya pokoknya tidak nyesel beli,0,0,0,1,0,0
bagus hp midrange paling ter value sangat keren designnya,1,1,0,0,1,0
barang bagus untuk kelas low range,1,0,0,0,1,0
bagus warnanya sangat bagus,1,0,0,0,1,0
pengiriman tidak sesuai estimasi yang seharusnya juni datangnya juni,0,0,0,1,0,0
harganya murah barangnya bagus sesuai pesanan dan sellernya cepat response serta komunikatif,1,1,1,1,1,0
bonus dari xiaomi ori barang agak lambat datang x gagal pickup,0,0,1,1,1,0
terima kasih walaupun salah beli dan g bisa di batalin karna telat batalin sekian detik dsini baru ngerasain kecepetan juga ternyta g se enak itu,0,0,1,0,0,0
produk sdh diterima dan sesuai sangat disayangkan admin tidak responsif chat,0,0,0,1,0,0
barang bagus,1,0,0,0,1,0
packaging aman barang tiba dengan selamat seller cepat responsif,0,0,1,1,1,1
barang bagus semoga awet,1,0,0,0,1,0
tidak ush diragukan lagii bagus mulus rahayuuu pokonya amanah alhamdulillah,1,0,0,1,1,1
barang asli msh segel dan berfungsi dengan baik dan garansi resmi kondisi packing rapi dan aman top,1,0,0,1,0,1
pelayanan penjual mantep banget barang juga aman,0,0,0,0,0,1
unit aman cuman pengemasan oleh penjual lambat sekali hari lebih jadi untuk yg butuh unit cepat coba pikir lagi,0,0,1,1,1,1
bagus icikiwir oyeoye pokoknya,1,0,0,0,1,0
barang nya bagus,1,0,0,0,1,0
bagus sayang kurir pede aja lempar barang ke dalam syukurlah barang tetap aman pilih neo karena menyasar performa tertinggi dan ram terbesar di kelas harganya da,1,0,0,0,1,1
msh segel cepet sampai pengiriman nya packing aman overall semoga awet,0,0,0,0,0,1
bagusss bgtttt plsss tidak nyselll belinyaa kpan beli lagiii,1,0,0,1,1,0
terimakasih sesuai dengan deskripsi,0,0,0,0,0,0
cs resposif waktu jawab chat produknya sesuai deskripsi packing pengiriman aman dan bergaransi barang diterima cepat dan selamat,0,0,1,0,1,1
bnib pengiriman aman cepat rekomennnn sesuai dengan deskripsi,0,0,1,0,1,1
barang bagus cakep untuk live bisa mantapp,1,0,0,0,1,0
packing rapih barang sesuai garansi dan semuanya lengkap memuaskan,0,0,0,0,0,1
alhamdulillah bagus tpi belum di nyalain,1,0,0,0,1,0
pesanan sesuai makasih xiaomi,0,0,0,0,0,0
bagus barangnya ori pengiriman cepat,1,0,1,0,1,0
wah proses sangat cepat pengiriman juga cepat packing nya aman ada buble dan kardus nya semoga unit hpnya awet terima kasih,0,0,1,0,1,1
barang sudah diterima dengan baik dan aman untuk teman rekomendasi sama toko ini,0,0,0,1,0,1
pertama kali beli hape lewat aplikasi alhamdulillah puas hasilnya paket sampai dg selamat barang masih bersegel dan berfungsi dg baik kualitas juga bagus bahannya ri,1,0,1,1,1,0
barangnya bagus terimakasih,1,0,0,0,1,0
bagus sesuai keinginan,1,0,0,0,1,0
sesuai pesanan,0,0,0,0,0,0
pengiriman cepat dan packing rapi,0,0,1,0,1,1
aman,0,0,0,0,0,1
bagus selamat sampai tujuan bagus lah buat pedagang kurir dan kita semua,1,0,1,0,1,0
good,0,0,0,0,0,0
hp nya mendarat dengan baik sesuai dan amanah toko nya kurir ramah dan baik mantabbb,0,0,0,1,0,1
performa bagus,1,0,0,0,1,0
barang bagus mulus puas banget nyampenya juga cepet,1,0,0,0,1,0
bagus,1,0,0,0,1,0
alhamdulillah sudah nyampe barang masih segel dan muluss,0,0,0,0,0,0
produk bagus packing aman pengiriman prioritas txs,1,0,0,0,1,1
barang bagus asli sesuai berfungsi dengan baik,1,0,0,1,1,0
barang sdh diterima dengan baik msh segel dan nyala alhamdulillah kondisi baik thanks seller,0,0,0,1,0,0
barang sudah diterima,0,0,0,0,0,0
cepat sekali,0,0,1,0,1,0
pengiriman cukup cepat barangnya bagus suaranya cakep,1,0,1,0,1,0
barang bagus tapi pengiriman lewat estimasi lamaaa admin kurang gercep bintang hp nya bagus cocok buat daily,1,0,1,0,1,0
pengiriman expres bngtt toko amanah bagus bngtt warnanya,1,0,0,0,1,1
barang sudah nyampe berfungsi dengan baik bagus,1,0,0,1,1,0
barang sudah di terima terima kasih seller,0,0,0,0,0,0
barang berfungsi dengan baik dan sesuai dengan ekspektasi hanya saja proses pesanan yang cukup lambat itu saja terima kasih,0,0,1,1,1,0
casing nya keren penjual juga cepat responsif,0,0,1,1,1,0
terima kasih vivostore semula ragu mebeli nya takut tidak asli,1,0,0,1,0,0
bagus original kamera jernih admin vivo indonesia sangat care responship pengiriman super cepat,1,0,1,1,1,0
barang sampai aman,0,0,0,0,0,1
bagus,1,0,0,0,1,0
setelah di pakai terasa kualitasnya yang mumpuni kerja optimal tampilan warna jernih dan ringan materialnya kemasan produk baik sehingga aman sampai tujuan tidak a,1,0,0,1,0,1
barang bagus pengiriman cepat dapat bonus,1,0,1,0,1,0
bagus,1,0,0,0,1,0
sebanding it,0,1,0,0,0,0
mantab,0,0,0,0,0,0
bagus,1,0,0,0,1,0
barang sudah sampai dengan baik kualitas produk sangat bagus pengemasan sangat cepat pengiriman sangat cepat terbaik,1,0,1,1,1,0
bagus,1,0,0,0,1,0
pertama kali menggunakan smart watch berguna dalam monitor kesehatan,0,0,0,0,0,0
heeh datangnya pas diakhir akhir waktu buat deg deg garansi digimap ternyata,0,0,0,0,0,0
paket unit smartwatch xiaomi redmi watch warna obsidian black sudah sampai produk jam bagus kualitas bahan premium berkesan elegan pengiriman cepat dan aman pak,1,0,1,0,1,1
mqbtap sesuai pesanan,0,0,0,0,0,0
gausah diragukan lagi bagi gw yg herasak gerusuk ketarik helm masuk mesin cuci segala macem masih nyala kesekian kali beli dan buruk nya sama gara kabelnya dah pd ng,1,0,0,1,1,1
pemakaian sudah bulanan masih betah di genggaman,0,0,0,0,0,1
packing rapi pengiriman juga cepat barangnya jga sudah di cek dan dijamin ori thank u,0,0,1,0,1,1
bagus,1,0,0,0,1,0
bagus,1,0,0,0,1,0
barangnya bagus cuman box nya agak lecet dikit gabisa foto karna hp lgi dipake intinya bagus xiaomi,1,0,0,0,1,0
sudah dipakai hpnya kurang lebih hmpir minggu sejauh ini puas dan jadi fanboy oppo hahahaha dari n flip ke find x,0,0,0,0,0,0
good,0,0,0,0,0,0
pembelian ke x nya masih terap sama kaya pertama kali beli top banget,0,0,0,0,0,0
bagus,1,0,0,0,1,0
sesuai pesan bosku terimakasih,0,0,0,0,0,0
produk bagus,1,0,0,0,1,0
baret gbs retur tpi kompen cm k bjir tidak sebanding,0,1,0,1,0,0
cepet sampe nya untuk expedisi barang segel belum di buka,0,0,0,0,0,0
paket sudah diterima pengiriman cepat produk aman,0,0,1,0,1,1
alhamdulillah barang cpat smpai hanya hari btw kirim ny ke btam yaaa,0,0,0,0,0,0
kamera a kurang bagus,1,0,0,0,1,0
terima kasih paket telah diterima dengan baik,0,0,0,1,0,0
bagus,1,0,0,0,1,0
mantappp,1,0,0,0,0,0
alhmdulillah hp nya dtang dg cepat ory masih segel tokonya sangat amanah gk rugi deh beli di sini,0,0,1,0,1,1
seller gercep banget kurir juga gercep hp paling sebanding secara value,0,1,0,0,0,0
gercep pisan bagus produk ori,1,0,0,0,1,0
original bagus bngt purple nya,1,0,0,0,1,0
barang aman pemgirimanndibantu cepat instan hrs nyabsdh lewat jam nya tapi dibantunkrm kurir pi kup di hari ni jg,0,0,1,0,1,1
bagus,1,0,0,0,1,0
perfect,0,0,0,0,0,0
barang dateng dengan selamat realpick banget pokoknya memuaskan sekali sukses buat opo,0,0,1,0,0,0
