toko,nama_barang,ulasan,rating
ismile-indonesia,Apple iPhone 13 128GB Garansi Resmi Indonesia,"Barang original, berfungsi semua, gada kendala
pemakaian baru +2 minggu.",5
ismile-indonesia,,"paket sudah sampai, belum di coba, semoga sesuai... terimakasih",5
ismile-indonesia,Vention Kabel Charger USB 2.0 Type C to Lightning Fast Charging 27W PD 3A 1M 2M LALBF Resmi,"Braided cable, kokoh, ada tutupnya, apalagi ?",5
ismile-indonesia,,Barang original.,5
ismile-indonesia,Apple iPhone 16 Garansi Resmi - 128GB 256GB 512GB,"respon cepat, barang langsung dikirim. pembelian kedua.",5
ismile-indonesia,Apple iPhone 13 128GB Garansi Resmi Indonesia,puassss banget. barang sampai dengan selamat dan original. mantaappp kerennnn,5
ismile-indonesia,,Saya ingin mengubah alamat tapi tetap dikiirm,1
ismile-indonesia,,"Respon penjual baik
Pengemasan aman
Pengiriman cepat
Senang berbelanja disini
Terima kasih untuk pelayanannya",5
ismile-indonesia,Apple iPhone 16 Pro Max 128GB 256GB 512GB 1TB Garansi Resmi,"Respon penjual baik
Pengemasan aman
Pengiriman cepat
Senang berbelanja disini
Terima kasih untuk pelayanannya
videonya kurang dr 30 detik jd gk bs di upload..",5
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,"thankyouu bantuannya untuk memberikan unit sesuai sama request kami, kak",5
ismile-indonesia,,"pesen yang garansi stiker TAM, dikirim yang ga ada stiker garansinya.",4
ismile-indonesia,,kiman terlalu cepat sampai,5
ismile-indonesia,,ok,5
ismile-indonesia,Apple iPhone 16 Pro 128GB Garansi Resmi,ini pengiriman tercepat selama bertahun2 saya belanja dri online....walopun gk dapat kode sesuai yg d pesan tp gpp **************** jg gercep thx a lot ya,5
ismile-indonesia,Apple iPhone 16 Pro Max Garansi Resmi - 256GB 512GB 1TB,"uda 2x beli iphone disini, semoga iphone nya awet lamaa bangetttt. sejauh ini gaada kendala, enaknya lagi di toko ini bisa self pickup jadi merasa aman kalo langsung cod...",5
ismile-indonesia,Philips TAUE 101 Earphone Headset With Mic Garansi Resmi,"mantul banget suaranya, jos",5
ismile-indonesia,,"Akun sharing dapatnya, jadi ga dipake",4
ismile-indonesia,Apple iPhone 15 Garansi Resmi 128GB 256GB 512GB,Barang diterima dengan keadaan baik. Packaging bubble wrap aman. Pengiriman sampai Sulawesi sangat cepat. Seller responsif.,5
ismile-indonesia,Apple iPhone 13 128GB Garansi Resmi Indonesia,"barang ori, mantappppppppppppp",5
ismile-indonesia,,Barang sesuai dengan deskripsi.. Original ..mantap,5
ismile-indonesia,Vention Kabel Charger USB 2.0 Type C to Lightning Fast Charging 27W PD 3A 1M 2M LALBF Resmi,Produk diterima dengan baik. Pengemasan aman. Produk berfungsi. Pengiriman oke.,5
ismile-indonesia,Vention Wall Charger Gan 20W PD USB C Garansi Resmi,Produk diterima dengan baik. Pengemasan aman. Produk berfungsi dengan baik.,5
ismile-indonesia,Apple iPhone 15 Plus Garansi Resmi - 128GB 256GB 512GB,"Barang Original, keren dan memuaskan.",5
ismile-indonesia,Vention Kabel Charger USB 2.0 Type C to Lightning Fast Charging 27W PD 3A 1M 2M LALBF Resmi,"Diluar ekpektasi sih, ternyata kabelnya kokoh banget ya, aku pikir kabel charger biasa, ternyata keren banget. 😘",5
ismile-indonesia,Ugreen Magsafe Case Classy Clear Clear-Black For iPhone 16 Series Resmi,"Case pas dan sesuai dengan pesanan. Belum dicoba cas wirelessnya, semoga works.",5
ismile-indonesia,,Barang sesuai pesanan dan bekerja dengan baik.,5
ismile-indonesia,,Mantap ori,5
ismile-indonesia,,terimakasih barang dtg dgn ceoat dan aman barang 100% ori/asli di cek imei garansi benar asli terima kasi admin resfon dgn cepat,5
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,terimakasih barang dtg celat barang bagus/ori berpungsi dgn baik di cek imei/kode2 di dlm nya cocok dan asli 100% ori/asli garansi asli tks,5
ismile-indonesia,,Rekomendedd!!,5
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,"Puass bangett, sengaja baru ngasih review setelah pemakaian 1 bulan lebih dan ternyataa sampe sekarang amann bgtt!!! Super rekomendedd sii",5
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,"Mantapp, admin responsif",5
ismile-indonesia,,"Mantap,selernya cepat,pingirimanya rafi,di rekomen bet belinya di toko ini wajib bintang 5",5
ismile-indonesia,,"barangya ori 100% di rekomen bet beli di toko ini ,selernya cepat respon,gak bakalan nyesel beli nya",5
ismile-indonesia,,"Paket ok, terima kasih",5
ismile-indonesia,Apple Watch Series 10 2024 GPS 42mm 46mm Alumunium Case Sport Band,Mantap terima kasih…,5
ismile-indonesia,Apple iPhone 15 128GB 256GB 512GB Garansi Resmi,"barang terbungkus rapi, tidak ada dus yang penyok",5
ismile-indonesia,Apple iPhone 15 128GB 256GB 512GB Garansi Resmi,"barang ori, mantab",5
ismile-indonesia,Apple iPhone 16 Garansi Resmi - 128GB 256GB 512GB,"barang terkirim aman dan sesuai request,  terimakasih",5
